dc_identifier,dc_title,dc_title_alternative,dc_type,dc_format,dcx_platform,dc_description,dc_subject,dc_creator,dcx_creator_anonymity,dc_date_created,dc_date_modified,dcx_date_certainty,dcx_status,dc_language,dc_identifier_url,dcx_contact,dcx_notes
WFC-001,HK Repository — 事件檔案庫,HK Repository,Collection,Database,unknown,"獨立數碼保存計劃，存檔香港歷史上重要事件，供學術研究及公眾利益用途。
[EN] Independent digital preservation project archiving significant events in Hong Kong history for academic research and public interest.",event; timeline; people; image; news,[anonymous],anonymous_group,2025-12-01,2025-12-02,known,active,zh-HK,,,Source listed 'HK Repository' as platform — no canonical URL supplied.
WFC-002,11.26 大埔宏福苑火災紀錄庫,Hong Kong Fire Documentary,Collection,Documentation Repository,MkDocs,"整理及保存 2025-11-26 大埔宏福苑火災的公開資料：新聞、影片、技術分析、承辦商、義工及社區支援、官方回應、後續資料。目標為公開、集中、可查證。
[EN] Compiles and preserves public records of the 2025-11-26 Wang Fuk Court fire: news, video, technical analysis, contractor records, volunteer and community support, official responses, and follow-up. Aims to be open, centralised, and verifiable.",timeline; videos; news; analysis; support; photos; residents; documents,[anonymous],anonymous_group,uuuu,uuuu,unknown,active,zh-HK,,,"Uses AI tools for timeline organisation; public participation for materials; ~17,578 visitors as noted by curator."
WFC-003,wang-fuk-court-fire-investigation,Wang Fuk Court Fire Investigation,Collection,Investigation Repository,GitHub,"獨立、社區驅動嘅調查，運用公開證據及科學方法。結構：evidence/、analysis/、simulation/ (FDS fire dynamics)、reports/、resources/。
[EN] Independent, community-driven investigation using open evidence and scientific methods. Structure: evidence/, analysis/, simulation/ (FDS fire dynamics), reports/, resources/.",investigation; fire dynamics; FDS simulation; evidence; technical analysis,hklittlefinger,pseudonymous,2025-12-06,2025-12-07,known,active,zh-HK,https://github.com/hklittlefinger/wang-fuk-court-fire-investigation,hklittlefinger@gmail.com,Has stated privacy and safety policy.
WFC-004,大埔火災 全港350+資源整合網,Tai Po Fire 350+ Resources Hub,InteractiveResource,Resource Aggregator,Notion,"以「長期、穩定」為旨，分為災民用及義工用資源，一站式人手統整。
[EN] A long-term, stable resource hub, divided into victim and volunteer sections, manually curated as a one-stop aggregator.",aid; resources; volunteers; victims; post-disaster,[anonymous],anonymous_group,uuuu,uuuu,unknown,active,zh-HK,https://opaque-laundry-ab5.notion.site/350-2b797bbbedf88061b0b3f8970b8642a7,,
WFC-005,永遠紀念宏福苑,Wang Fuk Court Memorial,InteractiveResource,Memorial Site,Website,"永遠紀念宏福苑 — 紀念平台。
[EN] A memorial platform dedicated to Wang Fuk Court — ""Forever Remember Wang Fuk Court.""",memorial; commemoration; remembrance,[anonymous],anonymous_group,uuuu,2026-01-24,approximate,inactive,zh-HK,https://taipo-fire.org/,,Source flagged status as 'Stop' — mapped to 'inactive'.
WFC-006,宏福苑報平安【齋睇】,Wang Fuk Court Safety Check-in (View Only),InteractiveResource,Safety Check-in Platform,Google Form,"由宏福苑社區曾/現工作者於災後設立，回應居民群組嘅痛苦、徬徨、焦急。
[EN] Set up after the disaster by current and former community workers at Wang Fuk Court, in response to the pain, anxiety, and distress expressed in residents' groups.",safety check-in; missing persons; community response,[anonymous],anonymous_group,2025-11-28,uuuu,ongoing,inactive,zh-HK,https://taipo-spreadsheet.vercel.app/,,Original 'Date Last updated' was 'auto-update' — recoded as ongoing in date_certainty.
WFC-007,大埔物資地圖,Tai Po Supplies Map,InteractiveResource,Map,Esri ArcGIS,"物資位置整合地圖，已停止更新（轉向其他平台）。
[EN] An integrated supplies location map; updates ceased (redirected to other platforms).",supplies; map; aid distribution; geolocation,[anonymous],anonymous_group,uuuu,uuuu,unknown,inactive,zh-HK,https://experience.arcgis.com/experience/22b9d309e69548f28d2f4055d4de5ace,,Curator note: 願逝者安息。願平安。願公義長存。
WFC-008,Hong Kong Emergency Coordination Hub — 康福苑互助站,Hong Fuk Court Aid Hub,Software,Web Application,GitHub,"社區互助 Web App：資訊分類整合、求助/互助、長者友善設計、狀態管理、緊急支援工具。黑白灰簡約 UI。
[EN] Community mutual-aid web app: information categorisation, help requests/mutual aid, elderly-friendly accessibility design, status management, and emergency support tools. Minimalist black-white-grey UI.",emergency coordination; mutual aid; accessibility; elderly; web app,heilcheng,pseudonymous,2025-11-28,2025-11-28,known,inactive,zh-HK,https://github.com/Hong-Kong-Emergency-Coordination-Hub/TP-Aid,,
WFC-009,Care Wang Fuk,,InteractiveResource,Resource Aggregator,Website,"民間自發製作，協助受災居民。資料來源：政府開放數據、空間數據、街坊報平安表格、官方公布。
[EN] A voluntarily created citizen platform to assist affected residents. Sources: government open data, spatial data platform, neighbourhood safety check-in forms, and official announcements.",resources; victims; aid; open data,[anonymous],anonymous_group,uuuu,uuuu,ongoing,active,zh-HK,https://carewangfuk.org/,,Source 'Platform: AI' unclear — recoded as Website.
WFC-010,大埔宏福苑火災法律支援,Tai Po Fire Legal Support,InteractiveResource,Legal FAQ,Website,"法律常見問題解答，由公益法香港及其義務律師提供。
[EN] Legal FAQ provided by PILnet Hong Kong (Pro Bono HK) and volunteer lawyers to assist people affected by the Tai Po fire.",legal aid; FAQ; volunteer lawyers; post-disaster legal,公益法香港 (Pro Bono HK),institutional,uuuu,uuuu,ongoing,active,zh-HK,https://www.taipofire.law/,,Technical support credited to '資安浪人'.
WFC-011,大埔守望,Tai Po Vigil,InteractiveResource,Donation Tracker,Website,"記錄及追蹤援助捐款，確保援助工作透明度及問責。
[EN] Tracks and records aid donations for families affected by the Wang Fuk Court fire, ensuring transparency and accountability in relief efforts.",donation tracking; transparency; accountability; aid,[anonymous],anonymous_group,uuuu,2025-12-11,approximate,active,zh-HK,https://taipovigil.hk/zh-TW,taipovigil.hk@proton.me,
WFC-012,大埔宏福苑事故 — 心理教育/培訓/講座/工作坊資源,Tai Po Wang Fuk Psychoeducation Calendar,InteractiveResource,Event Calendar,Google Calendar,"心理教育、培訓、講座、工作坊資源整合日曆。
[EN] A shared calendar aggregating psychoeducation, training, talks, and workshop resources related to the Wang Fuk Court incident.",psychoeducation; mental health; training; workshops; events,[anonymous],anonymous_group,uuuu,uuuu,unknown,inactive,zh-HK,https://calendar.google.com/calendar/u/0/embed?src=f981d9078d22de067a907ae9b5c43fe0693f26ccc93ad5528d46f60f76123086@group.calendar.google.com&ctz=Asia/Hong_Kong&pli=1,,
